Frequenz (Hz)	Pegel (dB)
2701,171875	-90,204086
2704,101562	-81,254356
2707,031250	-79,652214
2709,960938	-88,137482
2712,890625	-90,905807
2715,820312	-89,683617
2718,750000	-89,105469
2721,679688	-90,449684
2724,609375	-90,874146
2727,539062	-90,400505
2730,468750	-90,488503
2733,398438	-90,239021
2736,328125	-90,144173
2739,257812	-90,020325
2742,187500	-89,546097
2745,117188	-90,206581
2748,046875	-89,898460
2750,976562	-89,077759
2753,906250	-84,775475
2756,835938	-82,075279
2759,765625	-87,920929
2762,695312	-89,879349
2765,625000	-90,280525
2768,554688	-90,053772
2771,484375	-89,744766
2774,414062	-90,281990
2777,343750	-91,430374
2780,273438	-90,934998
2783,203125	-90,797905
2786,132812	-91,489380
2789,062500	-90,778069
2791,992188	-90,332962
2794,921875	-89,785118
2797,851562	-90,066162
2800,781250	-90,066338
2803,710938	-83,897217
2806,640625	-80,253876
2809,570312	-86,841713
2812,500000	-90,638107
2815,429688	-90,264832
2818,359375	-90,062737
2821,289062	-91,332436
2824,218750	-90,809914
2827,148438	-90,463570
2830,078125	-89,764824
2833,007812	-89,989784
2835,937500	-90,167702
2838,867188	-90,235680
2841,796875	-90,246803
2844,726562	-89,987350
2847,656250	-90,164696
2850,585938	-90,484634
2853,515625	-86,161423
2856,445312	-81,428314
2859,375000	-86,629349
2862,304688	-90,583069
2865,234375	-90,299065
2868,164062	-90,201431
2871,093750	-91,471390
2874,023438	-91,184044
2876,953125	-91,102119
2879,882812	-90,308456
2882,812500	-90,160774
2885,742188	-90,772369
2888,671875	-90,402107
2891,601562	-90,366508
2894,531250	-90,863983
2897,460938	-90,535683
2900,390625	-90,848099
2903,320312	-85,832481
2906,250000	-80,587128
2909,179688	-84,914543
2912,109375	-89,123894
2915,039062	-89,732780
2917,968750	-90,541191
2920,898438	-90,019547
2923,828125	-89,538940
2926,757812	-90,576050
2929,687500	-91,093773
2932,617188	-90,372948
2935,546875	-89,999664
2938,476562	-90,642235
2941,406250	-90,925621
2944,335938	-90,941635
2947,265625	-90,146980
2950,195312	-90,111145
2953,125000	-87,332657
2956,054688	-81,082352
2958,984375	-84,464912
2961,914062	-90,597404
2964,843750	-91,448898
2967,773438	-91,106583
2970,703125	-91,136475
2973,632812	-91,914993
2976,562500	-91,595467
2979,492188	-91,109619
2982,421875	-90,370651
2985,351562	-90,485756
2988,281250	-90,498314
2991,210938	-89,896690
2994,140625	-91,320076
2997,070312	-91,054001
3000,000000	-90,609726
3002,929688	-87,172585
3005,859375	-79,852394
3008,789062	-82,522469
3011,718750	-90,418846
3014,648438	-89,796844
3017,578125	-89,712143
3020,507812	-90,097397
3023,437500	-89,968948
3026,367188	-91,192696
3029,296875	-90,705879
3032,226562	-90,240295
3035,156250	-91,112404
3038,085938	-90,670074
3041,015625	-89,267242
3043,945312	-89,621346
3046,875000	-90,169106
3049,804688	-90,073181
3052,734375	-87,930504
3055,664062	-80,404099
3058,593750	-81,707100
3061,523438	-90,077652
3064,453125	-91,137466
3067,382812	-91,874763
3070,312500	-91,486588
3073,242188	-90,698708
3076,171875	-91,920670
3079,101562	-91,091370
3082,031250	-90,826019
3084,960938	-90,227745
3087,890625	-89,906425
3090,820312	-89,833138
3093,750000	-90,858528
3096,679688	-91,201828
3099,609375	-90,979134
3102,539062	-89,257248
3105,468750	-82,647873
3108,398438	-82,957649
3111,328125	-89,241898
3114,257812	-90,081123
3117,187500	-89,832283
3120,117188	-89,600128
3123,046875	-90,038742
3125,976562	-90,369339
3128,906250	-90,118286
3131,835938	-89,240288
3134,765625	-90,072838
3137,695312	-90,792496
3140,625000	-90,567131
3143,554688	-89,888832
3146,484375	-89,310616
3149,414062	-90,194641
3152,343750	-90,062088
3155,273438	-84,476799
3158,203125	-83,826721
3161,132812	-89,930923
3164,062500	-90,161629
3166,992188	-89,964851
3169,921875	-89,333809
3172,851562	-87,382347
3175,781250	-87,635078
3178,710938	-88,561440
3181,640625	-87,932541
3184,570312	-88,134262
3187,500000	-90,059715
3190,429688	-89,825066
3193,359375	-89,347008
3196,289062	-88,821945
3199,218750	-88,910316
3202,148438	-89,572891
3205,078125	-82,466751
3208,007812	-80,645134
3210,937500	-87,771851
3213,867188	-89,375572
3216,796875	-88,403732
3219,726562	-89,222557
3222,656250	-89,836258
3225,585938	-89,217445
3228,515625	-89,535423
3231,445312	-88,733841
3234,375000	-89,098244
3237,304688	-88,937897
3240,234375	-87,393661
3243,164062	-87,430946
3246,093750	-87,383263
3249,023438	-88,728149
3251,953125	-89,281006
3254,882812	-87,098259
3257,812500	-85,237823
3260,742188	-89,125679
3263,671875	-89,520309
3266,601562	-89,141571
3269,531250	-89,564621
3272,460938	-89,973137
3275,390625	-90,071068
3278,320312	-89,996376
3281,250000	-89,581589
3284,179688	-90,916496
3287,109375	-90,700630
3290,039062	-89,987816
3292,968750	-90,862846
3295,898438	-91,048264
3298,828125	-90,793938
3301,757812	-90,858635
3304,687500	-85,843956
3307,617188	-82,417007
3310,546875	-87,415840
3313,476562	-89,617592
3316,406250	-90,507637
3319,335938	-90,487190
3322,265625	-90,171089
3325,195312	-90,406433
3328,125000	-89,734917
3331,054688	-89,903625
3333,984375	-90,228500
3336,914062	-90,634949
3339,843750	-91,097771
3342,773438	-90,479515
3345,703125	-90,498764
3348,632812	-90,637726
3351,562500	-91,083794
3354,492188	-88,154602
3357,421875	-83,846886
3360,351562	-87,643745
3363,281250	-90,409157
3366,210938	-91,470497
3369,140625	-91,285530
3372,070312	-91,183395
3375,000000	-91,018860
3377,929688	-91,354485
3380,859375	-90,850975
3383,789062	-90,867851
3386,718750	-91,394333
3389,648438	-91,644684
3392,578125	-90,653435
3395,507812	-90,410316
3398,437500	-90,901237
3401,367188	-91,667137
3404,296875	-85,809784
3407,226562	-79,862770
3410,156250	-84,207420
3413,085938	-91,514587
3416,015625	-91,569542
3418,945312	-90,902710
3421,875000	-90,999344
3424,804688	-91,716026
3427,734375	-91,297440
3430,664062	-91,035645
3433,593750	-90,872711
3436,523438	-91,761276
3439,453125	-91,129410
3442,382812	-90,386650
3445,312500	-91,563141
3448,242188	-91,247246
3451,171875	-91,535461
3454,101562	-91,226898
3457,031250	-90,127304
3459,960938	-90,829903
3462,890625	-91,262291
3465,820312	-91,173576
3468,750000	-91,047646
3471,679688	-90,730782
3474,609375	-91,350288
3477,539062	-91,836159
3480,468750	-91,064552
